user	Algorithm	ndcg
1	ItemItem	0.14975290285136283
2	ItemItem	0.2201295126173368
3	ItemItem	0.0
4	ItemItem	0.0
5	ItemItem	0.3300943742835674
6	ItemItem	0.02966372000959796
7	ItemItem	0.23007090481202797
8	ItemItem	0.21364198451325575
9	ItemItem	0.0044495176254768535
10	ItemItem	0.06354936367950334
11	ItemItem	0.0
12	ItemItem	0.0
13	ItemItem	0.34963477014411054
14	ItemItem	0.0
15	ItemItem	0.0
16	ItemItem	0.0
17	ItemItem	0.2502004818209007
18	ItemItem	0.23907608163169183
19	ItemItem	0.0
22	ItemItem	0.21919154745554506
23	ItemItem	0.37199683545371276
24	ItemItem	0.0
25	ItemItem	0.2783923389896714
26	ItemItem	0.018992225880115014
27	ItemItem	0.0
28	ItemItem	0.31807101811171284
29	ItemItem	0.1448160909039985
33	ItemItem	0.4179568280149485
35	ItemItem	0.0
37	ItemItem	0.47535818411919306
38	ItemItem	0.0
39	ItemItem	0.0
40	ItemItem	0.20789631146458434
41	ItemItem	0.3541777003451383
42	ItemItem	0.0
43	ItemItem	0.0
44	ItemItem	0.0
45	ItemItem	0.0
46	ItemItem	0.5715915271567948
47	ItemItem	0.06064083776720657
48	ItemItem	0.10096657697192507
49	ItemItem	0.1431374718699473
50	ItemItem	0.2824061827906825
51	ItemItem	0.0
52	ItemItem	0.0
53	ItemItem	0.41182010569316185
54	ItemItem	0.48542409844895756
55	ItemItem	0.6802534799096979
56	ItemItem	0.4662603868263239
57	ItemItem	0.1989114384544048
58	ItemItem	0.0
59	ItemItem	0.2055424390201999
60	ItemItem	0.0
61	ItemItem	0.11624522961285512
62	ItemItem	0.12835764241652992
63	ItemItem	0.0
64	ItemItem	0.5009094930202797
65	ItemItem	0.4316900248414399
66	ItemItem	0.6073696708003797
68	ItemItem	0.0
71	ItemItem	0.5457928367712653
72	ItemItem	0.5038044465677832
73	ItemItem	0.494903545138375
74	ItemItem	0.0055544587927761025
75	ItemItem	0.0
76	ItemItem	0.0
77	ItemItem	0.08805242403130252
79	ItemItem	0.10883482577083868
80	ItemItem	0.3791436756970514
81	ItemItem	0.0
83	ItemItem	0.0
84	ItemItem	0.0
85	ItemItem	0.0
86	ItemItem	0.5997491219043773
87	ItemItem	0.06999035586843086
88	ItemItem	0.09335599141639427
89	ItemItem	0.47631347475382924
90	ItemItem	0.0
93	ItemItem	0.0
94	ItemItem	0.39483555012275423
95	ItemItem	0.411487482670347
96	ItemItem	0.36114625899346947
97	ItemItem	0.3544892345491358
98	ItemItem	0.0
100	ItemItem	0.0
101	ItemItem	0.0
102	ItemItem	0.0
103	ItemItem	0.0
104	ItemItem	0.3360985542265519
105	ItemItem	0.0
106	ItemItem	0.3444801126591306
107	ItemItem	0.0
108	ItemItem	0.0
109	ItemItem	0.37314404205920515
110	ItemItem	0.0
111	ItemItem	0.2986617352259417
112	ItemItem	0.40305000692531623
114	ItemItem	0.46672958007936444
115	ItemItem	0.0
116	ItemItem	0.0
117	ItemItem	0.14842368806977613
118	ItemItem	0.14406312218678727
119	ItemItem	0.0
121	ItemItem	0.6898063930427593
123	ItemItem	0.0
124	ItemItem	0.34059332437502776
125	ItemItem	0.38562288407615214
126	ItemItem	0.21053554916061368
127	ItemItem	0.5514766785311779
129	ItemItem	0.0
130	ItemItem	0.28458206976192363
131	ItemItem	0.0
132	ItemItem	0.4629214460961166
133	ItemItem	0.5102949145451584
134	ItemItem	0.0
135	ItemItem	0.1965138404641147
136	ItemItem	0.0
137	ItemItem	0.0
138	ItemItem	0.0
139	ItemItem	0.5919790343814664
140	ItemItem	0.0
141	ItemItem	0.0
142	ItemItem	0.6182707661281751
143	ItemItem	0.5515744927153255
144	ItemItem	0.19572316895634204
145	ItemItem	0.0
146	ItemItem	0.2563783218133534
147	ItemItem	0.39771350584614323
148	ItemItem	0.23292208013400806
149	ItemItem	0.10628116323976038
150	ItemItem	0.0
151	ItemItem	0.37424649868765625
152	ItemItem	0.09433409335227297
153	ItemItem	0.17304769920206986
154	ItemItem	0.4892634431013246
155	ItemItem	0.0
156	ItemItem	0.1645218460984379
157	ItemItem	0.19874465781965833
158	ItemItem	0.0
